Nome,Tags,"Compra (unid, m, kg)","Venda (unid, m, kg)"
20 M CABO ALARME,,"R$ 18,00","R$ 26,00"
40 M CABO ALARME,,"R$ 36,00","R$ 52,00"
60 M CABO ALARME,,"R$ 54,00","R$ 65,00"
80 M CABO ALARME,,"R$ 72,00","R$ 78,00"
100 M CABO ALARME,,"R$ 90,00","R$ 91,00"
200 M CABO ALARME,,"R$ 180,00","R$ 261,00"
300 M CABO ALARME,,"R$ 270,00","R$ 391,50"
1 RJ 11 CRISTAL,,"R$ 3,50","R$ 5,10"
1 RJ 45 CRISTAL,,"R$ 3,50","R$ 5,10"
2 RJ 11 CRISTAL,,"R$ 3,50","R$ 10,20"
2 RJ 45 CRISTAL,,"R$ 3,50","R$ 10,20"
3 RJ 11 CRISTAL,,"R$ 3,50","R$ 15,30"
3 RJ 45 CRISTAL,,"R$ 3,50","R$ 15,30"
4 RJ 11 CRISTAL,,"R$ 3,50","R$ 20,40"
4 RJ 45 CRISTAL,,"R$ 3,50","R$ 20,40"
5 RJ 11 CRISTAL,,"R$ 3,50","R$ 25,50"
5 RJ 45 CRISTAL,,"R$ 3,50","R$ 25,50"
1 TOMADA 2P+T H.C,,"R$ 6,70","R$ 9,70"
2 TOMADA 2P+T H.C,,"R$ 6,70","R$ 16,40"
3 TOMADA 2P+T H.C,,"R$ 6,70","R$ 26,10"
4 TOMADA 2P+T H.C,,"R$ 6,70","R$ 35,80"
1 PLACA INOX CEGA,,"R$ 22,50","R$ 33,50"
1 PLACA INOX 2 POSTO,,"R$ 22,50","R$ 33,50"
2 PLACA INOX 2 POSTO,,"R$ 22,50","R$ 67,00"
2 PLACA INOX CEGA,,"R$ 22,50","R$ 67,00"
3 PLACA INOX 2 POSTO,,"R$ 22,50","R$ 100,50"
1 FONTE 12V,,"R$ 39,50","R$ 57,50"
2 FONTE 12V,,"R$ 39,50","R$ 115,00"
1 RL FITA LED,,"R$ 45,00","R$ 65,50"
1 SIRENE CORNETA 12 VCC,,"R$ 45,00","R$ 65,50"
2 SIRENE CORNETA 12 VCC,,"R$ 45,00","R$ 130,50"
2 RL FITA LED,,"R$ 45,00","R$ 130,50"
